L,Vandalism,01/29/18. 03:16 PM.,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY 2901,Details
M,Theft,01/29/18. 02:08 PM.,IDENTITY THEFT FRAUD 2609,Details
N,Vandalism,01/29/18. 03:49 PM.,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY 2902,Details
O,Theft,01/29/18. 10:42 AM.,THEFT FROM BUILDING 2308,Details
P,Vandalism,01/29/18. 04:15 AM.,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY 2902,Details
A,Theft,01/28/18. 01:00 AM.,THEFT FROM MOTOR VEHICLE 2305,Details
B,Assault,01/28/18. 12:00 PM.,FORCIBLE FONDLING 1178,Details
C,Vandalism,01/28/18. 12:00 PM.,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY 2902,Details
D,Theft,01/28/18. 07:07 PM.,THEFT FROM BUILDING 2308,Details
E,Theft,01/28/18. 12:00 AM.,IDENTITY THEFT FRAUD 2609,Details
F,Theft,01/28/18. 01:15 AM.,THEFT FROM MOTOR VEHICLE 2305,Details
G,Vandalism,01/28/18. 07:04 PM.,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY 2902,Details
H,Theft,01/28/18. 11:00 AM.,THEFT FROM MOTOR VEHICLE 2305,Details
I,Assault,01/28/18. 10:44 PM.,AGGRAVATED ASSAULT 1305,Details
J,Theft,01/28/18. 04:45 PM.,MOTOR VEHICLE THEFT 2404,Details
K,Assault,01/28/18. 03:00 AM.,INTIMIDATION 1316,Details
L,Theft,01/28/18. 09:20 PM.,THEFT FROM MOTOR VEHICLE 2305,Details
M,Vandalism,01/28/18. 05:32 PM.,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY 2903,Details
N,Other,01/28/18. 08:25 PM.,ALL OTHER 7399,Details
O,Theft,01/28/18. 04:54 PM.,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME 2699,Details
P,Theft,01/28/18. 04:37 PM.,ALL OTHER LARCENY 2399,Details
Q,Assault,01/28/18. 05:34 PM.,SIMPLE ASSAULT 1313,Details
R,Other,01/28/18. 04:34 PM.,TRESPASS OF REAL PROPERTY 5707,Details
S,Assault,01/28/18. 01:52 AM.,SIMPLE ASSAULT 1313,Details
A,Theft,01/27/18. 05:20 PM.,ALL OTHER LARCENY 2399,Details
B,Theft,01/27/18. 05:02 PM.,THEFT FROM BUILDING 2308,Details
C,Assault,01/27/18. 08:29 PM.,SIMPLE ASSAULT 1313,Details
D,Assault,01/27/18. 05:14 PM.,AGGRAVATED ASSAULT 1312,Details
E,Assault,01/27/18. 05:14 PM.,SIMPLE ASSAULT 1313,Details
F,Assault,01/27/18. 08:45 PM.,AGGRAVATED ASSAULT 1302,Details
G,Theft,01/27/18. 11:29 PM.,THEFT FROM MOTOR VEHICLE 2305,Details
H,Other,01/27/18. 11:40 PM.,LIQUOR LAW VIOLATION 4196,Details
I,Other,01/27/18. 11:40 PM.,DISORDERLY CONDUCT 5393,Details
J,Arson,01/27/18. 07:49 PM.,ARSON 2006,Details
K,Arrest,01/27/18. 04:20 PM.,DRIVING UNDER THE INFLUENCE 8027,Details
L,Other,01/27/18. 12:25 PM.,RUNAWAY 7070,Details
M,Arrest,01/27/18. 02:10 AM.,DRIVING UNDER THE INFLUENCE 8027,Details
A,Theft,01/26/18. 01:50 AM.,THEFT FROM MOTOR VEHICLE 2305,Details
B,Theft,01/26/18. 01:15 AM.,THEFT FROM BUILDING 2308,Details
C,Theft,01/26/18. 01:00 AM.,THEFT FROM BUILDING 2308,Details
D,Burglary,01/26/18. 03:00 AM.,BURGLARY/BREAKING & ENTERING 2205,Details
E,Other,01/26/18. 10:51 AM.,ALL OTHER 7381,Details
F,Arrest,01/26/18. 07:25 PM.,DRIVING UNDER THE INFLUENCE 8031,Details
G,Theft,01/26/18. 08:00 PM.,IDENTITY THEFT FRAUD 2609,Details
H,Theft,01/26/18. 11:52 AM.,THEFT FROM MOTOR VEHICLE 2305,Details
I,Arrest,01/26/18. 09:06 PM.,DRUG/NARCOTIC VIOLATIONS 3560,Details
J,Other,01/26/18. 09:06 PM.,ALL OTHER 5011,Details
K,Vandalism,01/26/18. 10:43 PM.,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY 2901,Details
L,Other,01/26/18. 10:43 PM.,DISORDERLY CONDUCT 5311,Details
M,Assault,01/26/18. 04:33 PM.,SIMPLE ASSAULT 1313,Details
N,Assault,01/26/18. 08:48 PM.,SIMPLE ASSAULT 1313,Details
O,Theft,01/26/18. 03:57 PM.,CREDIT CARD/ATM 2605,Details
P,Arrest,01/26/18. 07:25 PM.,DRUG/NARCOTIC VIOLATIONS 3512,Details
Q,Theft,01/26/18. 12:25 PM.,SHOPLIFTING 3073,Details
R,Theft,01/26/18. 04:08 PM.,IDENTITY THEFT FRAUD 2609,Details
S,Theft,01/26/18. 03:43 PM.,CREDIT CARD/ATM 2605,Details
T,Theft,01/26/18. 03:34 PM.,IDENTITY THEFT FRAUD 2609,Details
U,Other,01/26/18. 02:21 PM.,ALL OTHER 5005,Details
